,date,isEnabled,name,symbol,type
1868,2017-11-03,True,Donaldson Company Inc.,DCI,cs
1869,2017-11-03,True,Diana Containerships Inc.,DCIX,cs
1870,2017-11-03,True,NTT DOCOMO Inc American Depositary Shares,DCM,cs
1871,2017-11-03,True,iPath Seasonal Natural Gas ETN,DCNG,et
1872,2017-11-03,True,Ducommun Incorporated,DCO,cs
1873,2017-11-03,True,Dime Community Bancshares Inc.,DCOM,cs
1874,2017-11-03,True,DCP Midstream LP,DCP,cs
1875,2017-11-03,True,Deciphera Pharmaceuticals Inc.,DCPH,cs
1876,2017-11-03,True,DCT Industrial Trust Inc,DCT,cs
1877,2017-11-03,True,Dominion Energy Inc. 2016 Series A Corporate Units,DCUD,su
1878,2017-11-03,True,E.I. du Pont de Nemours and Company Preferred Stock,DD-A,ps
1879,2017-11-03,True,E.I. du Pont de Nemours and Company Preferred Stock,DD-B,ps
1880,2017-11-03,True,Legg Mason Developed EX-US Diversified Core ETF,DDBI,N/A
1881,2017-11-03,True,3D Systems Corporation,DDD,cs
1882,2017-11-03,True,Dover Downs Gaming & Entertainment Inc,DDE,cs
1883,2017-11-03,True,WisdomTree Dynamic Currency Hedged Europe Equity Fund,DDEZ,N/A
1884,2017-11-03,True,Delaware Investments Dividend & Income Fund Inc.,DDF,cs
1885,2017-11-03,True,ProShares Short Oil & Gas,DDG,et
1886,2017-11-03,True,WisdomTree Dynamic Currency Hedged Japan Equity Fund,DDJP,N/A
1887,2017-11-03,True,WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund,DDLS,N/A
1888,2017-11-03,True,ProShares Ultra Dow30,DDM,et
1889,2017-11-03,True,DB Commodity Short ETN due April 1 2038,DDP,et
1890,2017-11-03,True,DDR Corp.,DDR,cs
1891,2017-11-03,True,DDR Corp. Depositary Shares each representing a 1/20th interest in a share of 6.375% Class A Cumulative Redeemable Preferred Shares,DDR-A,ps
1892,2017-11-03,True,DDR Corporation Dep Shs Repstg 1/20th Pfd Cl J,DDR-J,ps
1893,2017-11-03,True,DDR Corp. DEPOSITARY SH REPSTG 1/20TH PDF CL K % (United States),DDR-K,ps
1894,2017-11-03,True,Dillard's Inc.,DDS,cs
1895,2017-11-03,True,Dillard's Capital Trust I,DDT,ps
1896,2017-11-03,True,WisdomTree Dynamic Currency Hedged International Equity Fund,DDWM,N/A
1897,2017-11-03,True,Deere & Company,DE,cs
1898,2017-11-03,True,Easterly Government Properties Inc.,DEA,cs
1899,2017-11-03,True,Deckers Outdoor Corporation,DECK,cs
1900,2017-11-03,True,DB Commodity Double Short ETN due April 1 2038,DEE,et
1901,2017-11-03,True,Xtrackers FTSE Developed ex US Comprehensive Factor,DEEF,N/A
1902,2017-11-03,True,Guggenheim Defensive Equity,DEF,et
1903,2017-11-03,True,iShares Adaptive Currency Hedged MSCI EAFE,DEFA,N/A
1904,2017-11-03,True,Douglas Emmett Inc.,DEI,cs
1905,2017-11-03,True,Deltic Timber Corporation,DEL,cs
1906,2017-11-03,True,Delta Technology Holdings Limited,DELT,cs
1907,2017-11-03,True,Delta Technology Holdings Limited Warrant,DELTW,N/A
1908,2017-11-03,True,WisdomTree Emerging Markets High Dividend Fund,DEM,et
1909,2017-11-03,True,Xtrackers FTSE Emerging Comprehensive Factor,DEMG,N/A
1910,2017-11-03,False,Democratic Policies Fund,DEMS,N/A
1911,2017-11-03,True,Denny's Corporation,DENN,cs
1912,2017-11-03,True,Diageo plc,DEO,cs
1913,2017-11-03,True,Depomed Inc.,DEPO,cs
1914,2017-11-03,True,Dermira Inc.,DERM,cs
1915,2017-11-03,True,WisdomTree U.S. SmallCap Dividend Fund,DES,et
1916,2017-11-03,True,Xtrackers Russell 2000 Comprehensive Factor,DESC,N/A
1917,2017-11-03,True,Despegar.com Corp.,DESP,cs
1918,2017-11-03,True,Destination Maternity Corporation,DEST,cs
1919,2017-11-03,True,Xtrackers Russell 1000 Comprehensive Factor,DEUS,N/A
1920,2017-11-03,True,WisdomTree Global High Dividend Fund,DEW,et
1921,2017-11-03,True,iShares Adaptive Currency Hedged MSCI Japan,DEWJ,N/A
1922,2017-11-03,True,Delaware Enhanced Global Dividend of Beneficial Interest,DEX,cs
1923,2017-11-03,True,iShares Adaptive Currency Hedged MSCI Eurozone,DEZU,N/A
1924,2017-11-03,True,Dean Foods Company,DF,cs
1925,2017-11-03,True,Differential Brands Group Inc.,DFBG,cs
1926,2017-11-03,True,WisdomTree Europe SmallCap Dividend Fund,DFE,et
1927,2017-11-03,True,Direxion Daily Aerospace & Defense Bull 3X Shares,DFEN,N/A
1928,2017-11-03,True,Diffusion Pharmaceuticals Inc.,DFFN,cs
1929,2017-11-03,True,Donnelley Financial Solutions Inc.,DFIN,cs
1930,2017-11-03,True,WisdomTree Japan SmallCap Fund,DFJ,et
1931,2017-11-03,True,Realty Shares DIVCON Dividend Defender,DFND,N/A
1932,2017-11-03,True,Davis Select Financial ETF,DFNL,N/A
1933,2017-11-03,True,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,DFP,cs
1934,2017-11-03,True,Del Frisco's Restaurant Group Inc.,DFRG,cs
1935,2017-11-03,True,Discover Financial Services,DFS,cs
1936,2017-11-03,True,,DFS-B*,N/A
1937,2017-11-03,True,iPath US Treasury 5 Year Bull ETN,DFVL,et
1938,2017-11-03,True,iPath US Treasury 5-year Bear ETN,DFVS,et
1939,2017-11-03,True,Dollar General Corporation,DG,cs
1940,2017-11-03,True,VelocityShares 3X Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas INdex Excess Return,DGAZ,N/A
1941,2017-11-03,True,Donegal Group Inc. Class A Common Stock,DGICA,cs
1942,2017-11-03,True,Donegal Group Inc. Class B Common Stock,DGICB,cs
1943,2017-11-03,True,Digi International Inc.,DGII,cs
1944,2017-11-03,True,PowerShares DB Gold Fund,DGL,et
1945,2017-11-03,True,VelocityShares 3x Inverse Gold ETN,DGLD,N/A
1946,2017-11-03,True,Digital Ally Inc.,DGLY,cs
1947,2017-11-03,True,DB Gold Double Long ETN due February 15 2038,DGP,et
1948,2017-11-03,True,WisdomTree Emerging Markets Quality Dividend Growth Fund,DGRE,N/A
1949,2017-11-03,True,iShares Core Dividend Growth,DGRO,N/A
1950,2017-11-03,True,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,DGRS,N/A
1951,2017-11-03,True,WisdomTree U.S. Quality Dividend Growth Fund,DGRW,N/A
1952,2017-11-03,True,WisdomTree Emerging Market SmallCap Fund,DGS,et
1953,2017-11-03,True,DGSE Companies Inc.,DGSE,cs
1954,2017-11-03,True,SPDR Global Dow ETF (based on The Global Dow),DGT,et
1955,2017-11-03,True,Quest Diagnostics Incorporated,DGX,cs
1956,2017-11-03,True,DB Gold Short ETN due February 15 2038,DGZ,et
1957,2017-11-03,True,WisdomTree Dynamic Currency Hedged International Quality Dividend Growth Fund,DHDG,N/A
